meal_name,ingredients,calories_per_serving,carbs,proteins,fats,diet_type,meal_time,serving_size,cost_per_serving_in_inr,region,meal_time_categories
Gujarati Kadhi,"Yogurt, Gram Flour, Spices, Jaggery",180,20,6,8,Vegetarian,Lunch,1 bowl,30,Other,['lunch']
Brown Rice Bowl with Curried Roasted Cauliflower,"Brown Rice, Cauliflower, Curry Powder, Spices",300,40,10,10,Vegetarian,Lunch,1 bowl,50,North Indian,['lunch']
Curried Chicken Salad,"Chicken, Yogurt, Curry Powder, Spices, Celery, Onion",320,15,25,18,Non-Vegetarian,Lunch,1 bowl,60,North Indian,['lunch']
Lobster Rolls with Curry Mayonnaise,"Lobster Meat, Curry Powder, Mayonnaise, Bread Rolls",400,30,20,25,Non-Vegetarian,Lunch,1 roll,80,North Indian,['lunch']
Crab and Coconut Samosas,"Crab Meat, Coconut, Spices, Refined Flour",280,25,8,15,Non-Vegetarian,Snack,2 samosas,50,South Indian,['snacks']
Onion Bhajis,"Onion, Gram Flour, Spices, Oil",200,20,6,10,Vegetarian,Snack,4 bhajis,30,Other,['snacks']
Daal,"Lentils, Spices",200,30,12,5,Vegetarian,Lunch,1 bowl,30,North Indian,['lunch']
Daal Fry,"Lentils, Onion, Tomato, Spices",220,35,10,5,Vegetarian,Lunch,1 bowl,35,North Indian,['lunch']
Moong Dal Khichdi,"Moong Dal, Rice, Spices, Vegetables",250,35,10,5,Vegetarian,Lunch,1 bowl,30,North Indian,['lunch']
Baingan Bharta,"Eggplant, Onion, Tomato, Spices",180,15,4,10,Vegetarian,Lunch,1 bowl,20,North Indian,['lunch']
Mix Veg Curry,"Mixed Vegetables, Onion, Tomato, Spices",200,25,7,8,Vegetarian,Lunch,1 bowl,35,North Indian,['lunch']
Lauki Kofta Curry,"Bottle Gourd, Gram Flour, Onion, Tomato, Spices",250,20,8,15,Vegetarian,Lunch,1 bowl,40,North Indian,['lunch']
Methi Thepla (with curd),"Wheat Flour, Fenugreek Leaves, Spices, Yogurt",280,30,8,14,Vegetarian,Breakfast,1 thepla + 1 bowl,40,Other,['breakfast']
Stuffed Capsicum,"Capsicum, Potato, Spices, Onion",200,25,5,8,Vegetarian,Lunch,1 capsicum,35,North Indian,['lunch']
Gajar ka Halwa (as dessert),"Carrot, Milk, Sugar, Ghee, Cashews, Raisins",300,45,6,10,Vegetarian,Dessert,1 bowl,40,North Indian,['dessert']
Spinach Moong Dal Cheela,"Spinach, Moong Dal, Spices",180,20,9,4,Vegetarian,Breakfast,1 cheela,30,North Indian,['breakfast']
Protein Shake,"Protein Powder, Milk/Yogurt, Fruits, Nuts",250,20,25,8,Vegetarian,Breakfast/Snack,1 glass,50,North Indian,['breakfast']
Papaya Multigrain Roti,"Papaya, Multigrain Flour, Spices",220,30,7,6,Vegetarian,Breakfast,1 roti,30,North Indian,['breakfast']
Fish Curry,"Fish, Onion, Tomato, Spices",280,10,20,18,Non-Vegetarian,Lunch,1 bowl,70,South Indian,['lunch']
Greek Salad,"Cucumber, Tomato, Onion, Olives, Feta Cheese, Olive Oil",200,15,8,12,Vegetarian,Lunch,1 bowl,40,Other,['lunch']
Mushroom Matar Paneer Curry,"Mushroom, Peas, Paneer, Onion, Tomato, Spices",320,15,18,20,Vegetarian,Dinner,1 bowl,55,North Indian,['dinner']
Tofu Vegetable Salad,"Tofu, Mixed Vegetables, Lettuce, Olive Oil, Lemon Juice",180,15,10,8,Vegetarian,Lunch,1 bowl,35,North Indian,['lunch']
Overnight Oats Berries Bowl,"Oats, Milk/Yogurt, Berries, Nuts, Seeds",220,30,8,8,Vegetarian,Breakfast,1 bowl,40,North Indian,['breakfast']
Seasonal Fruit,Assorted Seasonal Fruits,100,25,1,0,Vegetarian,Snack,1 bowl,25,North Indian,['snacks']
Brown Rice,"Brown Rice, Water",220,45,5,2,Vegetarian,Lunch,1 cup cooked,30,North Indian,['lunch']
Lauki Chana Dal,"Bottle Gourd, Chana Dal, Spices",200,25,8,5,Vegetarian,Lunch,1 bowl,35,North Indian,['lunch']
Egg Curry (Anda Curry),"Eggs, Onion, Tomato, Spices",320,10,20,20,Non-Vegetarian,Lunch,1 bowl,50,North Indian,['lunch']
Chana Salad,"Chickpeas, Onion, Tomato, Cucumber, Lemon Juice",180,25,10,4,Vegetarian,Lunch,1 bowl,30,North Indian,['lunch']
Quinoa Vegetable Khichdi,"Quinoa, Vegetables, Lentils, Spices",280,35,12,8,Vegetarian,Lunch,1 bowl,45,North Indian,['lunch']
Shahi Paneer,"Paneer, Tomato, Cream, Cashews, Spices",400,20,15,30,Vegetarian,Dinner,1 bowl,70,North Indian,['dinner']
Vegetable Salad,"Mixed Vegetables, Lettuce, Olive Oil, Lemon Juice",150,15,5,7,Vegetarian,Lunch,1 bowl,30,North Indian,['lunch']
Boiled Eggs,Eggs,70,1,6,5,Non-Vegetarian,Breakfast/Snack,2 eggs,20,North Indian,['breakfast']
Steamed Vegetables,Assorted Steamed Vegetables,100,15,5,2,Vegetarian,Lunch,1 bowl,25,North Indian,['lunch']
Lemon Gravy Chicken,"Chicken, Lemon, Spices",280,8,25,15,Non-Vegetarian,Dinner,1 bowl,60,North Indian,['dinner']
Greek Yogurt,Greek Yogurt,150,7,20,4,Vegetarian,Breakfast/Snack,1 cup,40,North Indian,['breakfast']
Tofu Curry,"Tofu, Onion, Tomato, Spices",220,15,12,10,Vegetarian,Lunch,1 bowl,40,North Indian,['lunch']
Apple Peanut Butter Smoothie (with Whey Protein),"Apple, Peanut Butter, Whey Protein, Milk/Yogurt",350,30,30,15,Vegetarian,Breakfast,1 glass,60,North Indian,['breakfast']
Multigrain Chapati,"Multigrain Flour, Water, Oil",120,22,4,2,Vegetarian,Lunch/Dinner,1 chapati,15,North Indian,"['lunch', 'dinner']"
Egg Bhurji,"Eggs, Onion, Tomato, Spices",180,5,12,12,Non-Vegetarian,Breakfast,1 bowl,30,North Indian,['breakfast']
Cucumber Raita,"Yogurt, Cucumber, Spices",80,8,5,3,Vegetarian,Lunch/Snack,1 bowl,20,North Indian,['lunch']
Sauteed Vegetables,"Mixed Vegetables, Olive Oil, Spices",150,15,5,8,Vegetarian,Lunch/Dinner,1 bowl,30,North Indian,"['lunch', 'dinner']"
Multigrain Millet Vegetable Khichdi,"Multigrain Millet, Vegetables, Lentils, Spices",280,35,12,8,Vegetarian,Lunch,1 bowl,45,North Indian,['lunch']
Curd,Yogurt,120,8,12,5,Vegetarian,Breakfast/Snack,1 cup,25,North Indian,['breakfast']
Paneer Bhurji,"Paneer, Onion, Tomato, Spices",220,8,15,15,Vegetarian,Breakfast,1 bowl,40,North Indian,['breakfast']
Low-fat Yogurt,Low-fat Yogurt,100,10,10,2,Vegetarian,Breakfast/Snack,1 cup,30,North Indian,['breakfast']
Sprout Salad,"Mixed Sprouts, Onion, Tomato, Cucumber, Lemon Juice",150,20,8,4,Vegetarian,Snack,1 bowl,30,North Indian,['snacks']
Roasted Chickpeas,"Chickpeas, Spices, Oil",180,25,8,5,Vegetarian,Snack,1/2 cup,30,North Indian,['snacks']
Mixed Vegetable Sabzi,"Mixed Vegetables, Onion, Tomato, Spices",200,25,7,8,Vegetarian,Lunch,1 bowl,35,North Indian,['lunch']
Broccoli Cauliflower Sabzi,"Broccoli, Cauliflower, Spices",150,15,5,8,Vegetarian,Lunch,1 bowl,35,North Indian,['lunch']
Cauliflower Whole Grain Toast (with Almond Butter or Avocado),"Cauliflower, Whole Grain Toast, Almond Butter/Avocado, Spices",250,25,10,12,Vegetarian,Breakfast,1 slice,45,North Indian,['breakfast']
Baked Sweet Potatoes,"Sweet Potatoes, Spices",150,30,3,2,Vegetarian,Snack,1 medium,30,North Indian,['snacks']
Whey Protein Shake,"Whey Protein, Milk/Water",150,5,25,2,Vegetarian,Post-Workout,1 shake,50,North Indian,['snacks']
Dextrose Monohydrate (Post-Workout),Dextrose Monohydrate,100,25,0,0,Vegetarian,Post-Workout,1 serving,20,North Indian,['snacks']
Avocado and White Bean Salad (with Cheese Dressing),"Avocado, White Beans, Cheese, Lettuce, Olive Oil, Lemon Juice",300,20,15,20,Vegetarian,Lunch,1 bowl,55,North Indian,['lunch']
Chicken Broccoli Salad (with Flax Oil Dressing),"Chicken, Broccoli, Lettuce, Flax Oil, Lemon Juice",250,10,25,12,Non-Vegetarian,Lunch,1 bowl,60,North Indian,['lunch']
Tandoori Chicken,"Chicken, Yogurt, Spices",250,3,27,13,Non-Vegetarian,Dinner,2 pieces,80,North Indian,['dinner']
Lauki Kofta,"Bottle Gourd, Gram Flour, Spices",250,20,8,15,Vegetarian,Lunch,1 bowl,40,North Indian,['lunch']
Paneer Tikka,"Paneer, Yogurt, Spices",280,12,18,20,Vegetarian,Dinner,6 pieces,90,North Indian,['dinner']
Mixed Bean Sabzi,"Mixed Beans, Onion, Tomato, Spices",200,25,10,5,Vegetarian,Lunch,1 bowl,35,North Indian,['lunch']
Chickpea Salad,"Chickpeas, Onion, Tomato, Cucumber, Lemon Juice",180,25,10,4,Vegetarian,Lunch,1 bowl,30,North Indian,['lunch']
Lentil Soup (Dal),"Lentils, Spices",200,30,12,5,Vegetarian,Lunch,1 bowl,30,North Indian,['lunch']
Grilled Chicken Breast,"Chicken Breast, Spices",165,0,31,3.6,Non-Vegetarian,Dinner,1 breast,70,North Indian,['dinner']
Cottage Cheese (Paneer),Paneer,265,4,28,15,Vegetarian,Snack,100 grams,50,North Indian,['snacks']
Greek Yogurt Parfait,"Greek Yogurt, Fruits, Granola",250,30,15,8,Vegetarian,Breakfast,1 parfait,45,North Indian,['breakfast']
Oats Porridge,"Oats, Milk, Sugar/Honey",150,25,5,3,Vegetarian,Breakfast,1 bowl,30,North Indian,['breakfast']
Sweet Potato Chaat,"Sweet Potato, Spices, Lemon Juice",180,30,3,5,Vegetarian,Snack,1 bowl,30,North Indian,['snacks']
"Fruit Salad (Banana, apple, mango,blueberry) ","Banana, apple, mango,blueberry",120,30,2,1,Vegetarian,Snack,1 bowl,60,North Indian,['snacks']
Basmati Rice,"Basmati Rice, Water",220,45,5,2,Vegetarian,Lunch,1 cup cooked,30,North Indian,['lunch']
Quinoa Pulao,"Quinoa, Vegetables, Spices",250,35,10,8,Vegetarian,Lunch,1 bowl,45,North Indian,['lunch']
